Timestamp,Temperature_C,Humidity_%,AQI
1/18/2026 13:48,21.49,66.14,158
1/18/2026 13:48,23.23,45.71,190
1/18/2026 13:48,42.1,51.84,190
1/18/2026 13:48,34.91,87.29,271
1/18/2026 13:48,41.89,56.31,233
1/18/2026 13:48,42.15,89.53,113
1/18/2026 13:48,35.75,41.12,58
2026-01-19 20:40:56,33.89,31.02,134
2026-01-19 20:40:58,22.89,51.37,95
2026-01-19 20:41:00,20.08,85.62,170
2026-01-19 20:41:02,41.8,56.98,164
2026-01-19 20:41:04,25.02,56.37,127
2026-01-19 20:41:06,38.74,78.47,127
2026-01-19 20:41:08,40.12,50.7,153
2026-01-19 20:41:10,28.73,75.13,289
2026-01-19 20:41:12,41.8,79.38,262
2026-01-19 20:41:14,24.23,86.49,168
2026-01-19 20:41:16,29.24,39.46,122
2026-01-19 20:41:18,44.87,89.17,238
2026-01-19 20:41:20,20.62,79.47,55
2026-01-19 20:41:22,34.33,36.66,237
2026-01-19 20:41:24,36.92,32.67,220
2026-01-19 20:41:26,26.48,47.5,178
2026-01-19 20:41:28,30.41,63.98,289
2026-01-19 20:41:30,22.54,32.62,124
2026-01-19 20:41:32,30.61,64.2,202
2026-01-19 20:41:34,25.14,43.08,260
2026-01-19 20:41:36,32.7,86.08,220
2026-01-19 20:41:38,37.65,81.12,252
2026-01-19 20:41:40,34.94,65.42,232
2026-01-19 20:41:42,44.98,56.71,132
2026-01-19 20:41:44,29.39,47.28,63
2026-01-19 20:41:46,32.28,52.41,255
2026-01-19 20:41:48,34.77,48.95,267
2026-01-19 20:41:50,24.2,33.66,264
2026-01-19 20:41:52,23.86,45.95,109
2026-01-19 20:41:54,41.42,57.25,69
2026-01-19 20:41:56,22.97,35.4,157
2026-01-19 20:41:58,33.68,80.29,69
2026-01-19 20:42:00,27.05,61.29,289
2026-01-19 20:42:02,22.39,86.59,154
2026-01-19 20:42:04,42.45,61.6,113
2026-01-19 20:42:06,27.62,61.57,147
2026-01-19 20:42:08,30.34,79.54,137
2026-01-19 20:42:10,29.75,58.25,90
2026-01-19 20:42:12,31.68,65.87,251
2026-01-19 20:42:14,28.18,47.59,163
2026-01-19 20:42:16,40.69,83.02,186
2026-01-19 20:42:18,41.88,43.52,221
2026-01-19 20:42:20,38.45,44.0,176
2026-01-19 20:42:22,30.55,53.65,76
2026-01-19 20:42:24,22.96,43.94,156
2026-01-19 20:42:26,27.16,49.3,90
2026-01-19 20:42:28,36.62,89.07,293
2026-01-19 20:42:30,23.81,70.9,84
2026-01-19 20:42:32,22.8,57.05,219
2026-01-19 20:42:34,24.91,65.19,188
2026-01-19 20:42:36,22.99,36.69,196
2026-01-19 20:42:38,32.7,55.65,231
2026-01-19 20:42:40,22.16,64.59,219
2026-01-19 20:42:42,41.55,81.73,163
2026-01-19 20:42:44,41.82,38.6,161
2026-01-19 20:42:46,20.68,40.41,168
2026-01-19 20:42:48,25.88,83.27,97
2026-01-19 20:42:50,36.43,46.53,131
2026-01-19 20:42:52,28.87,35.8,66
2026-01-19 20:42:54,20.46,62.96,299
2026-01-19 20:42:56,39.25,35.59,167
2026-01-19 20:42:58,32.43,47.22,252
2026-01-19 20:43:00,34.17,71.7,277
2026-01-19 20:43:02,44.59,77.24,133
2026-01-19 20:43:04,31.57,51.58,146
2026-01-19 20:43:06,29.74,31.66,204
